Price ,Size,Lot ,Bath,Bed,Year,Garage,School
388,2.18,4,3,4,1940,0,High
450,2.054,5,3,4,1957,2,High
386,2.112,5,2,4,1955,2,High
350,1.442,6,1,2,1956,1,Alex
155.5,1.8,1,2,4,1994,1,Alex
220,1.965,5,2,3,1940,1,Alex
239.5,1.8,4,1.1,4,1958,1,StLouis
207,2.254,4,2,4,1961,2,StLouis
269.9,1.922,4,2.1,4,1965,2,StLouis
238.8,1.92,5,2.1,3,1968,2,StLouis
359.9,2.2,5,2,3,1970,2,StMarys
249.7,1.868,4,2,4,1965,2,StMarys
265,1.875,4,2.1,3,1979,2,StMarys
349,2,5,2,3,1997,2,StMarys
319,1.855,4,2,4,1925,2,NotreDame
339,1.928,5,3,3,1972,2,StMarys
283,1.98,4,3,4,1971,2,StMarys
275,1.528,3,2.1,3,1975,2,StMarys
299.9,1.882,3,2.1,3,1976,2,StMarys
277,1.44,3,2,3,1948,2,High
299,1.994,8,3,2,2005,3,StLouis
185,1.86,4,2,5,1953,0,StLouis
232,2.031,4,2,4,1950,0,StLouis
214.9,1.868,5,2,4,1966,2,StMarys
195,2.112,4,2,3,1966,2,StMarys
256,1.974,4,2,3,1961,2,NotreDame
269.7,2.1,4,2,4,1969,2,StLouis
330,1.894,2,2,3,1950,1,High
249.9,1.804,5,2,3,1960,2,StMarys
279.9,2.01,5,2,3,1969,2,High
325,1.661,4,1.1,3,1974,2,Stratford
259.9,1.708,4,2,4,1937,0,Stratford
324.5,1.8,2,2.1,3,2000,1,NotreDame
359.9,1.968,3,3,3,1980,2,NotreDame
252.5,1.888,2,2,6,1920,0,High
269,1.8,3,3,5,1947,0,StMarys
235,1.712,5,1,3,1948,1,High
256.5,2.2,4,2.1,3,1966,2,StMarys
319.9,1.92,7,2.1,3,2004,2,StLouis
355,2.129,5,2,3,2003,2,StLouis
285,2.235,7,3.1,4,1975,2,Stratford
242,2.279,5,2.1,4,1949,1,StLouis
197,1.85,3,2,4,1964,1,StMarys
281.8,1.886,4,2,3,2005,2,High
259,2.08,2,2,4,1969,2,StMarys
189.5,1.906,3,2.1,3,1975,0,StMarys
339.9,2.048,5,2,2,1993,3,StMarys
297,2.106,4,2.1,3,1995,2,StMarys
295,2.028,4,3,5,1992,2,StMarys
222.5,1.794,4,2,3,1960,0,Stratford
199,2.016,3,2,5,1963,1,StMarys
385.5,1.904,4,1.1,3,1919,1,High
230,2.234,3,3,4,1972,2,StMarys
285,2.269,3,3.1,4,1905,0,High
243,1.81,4,3,3,1961,2,StMarys
217,1.875,4,2,3,1961,0,StMarys
259.9,1.683,5,2.1,3,1979,1,NotreDame
349.5,2.08,4,2.1,3,2005,2,NotreDame
345,2.126,1,3.1,3,2005,2,NotreDame
336,2.126,1,3.1,3,2005,2,NotreDame
333.75,2.126,1,3.1,3,2005,2,NotreDame
340,2.126,1,3.1,3,2005,2,NotreDame
345,2.126,1,3.1,3,2005,2,NotreDame
374.5,1.712,5,1.1,3,1908,2,High
236.5,1.95,4,3,4,1966,2,StMarys
350,2.02,7,2,3,1976,2,NotreDame
270,2.053,3,2.1,3,1977,2,StMarys
299,1.743,3,2,3,1988,2,NotreDame
285,1.878,5,2.1,3,1975,2,Stratford
255,1.9,4,2,3,1980,2,StLouis
259,2.208,4,3,3,1979,2,StLouis
249.9,2.081,5,2.1,4,1970,1,NotreDame
215,2.044,1,1.1,4,1936,0,StLouis
435,2.253,11,2,3,1979,2,StMarys
274.9,1.861,4,2,4,1995,2,StLouis
349.5,2.896,4,3,5,1979,2,Stratford